Counter,ICD-10 code,WHO update 1=Add 2=Del,ICD-10 code descriptor,ICD-10-AM Map,Aust update 1=Add 2=Del,Additive Map (+),ICD-10-AM code descriptor
14689,V47.5,,"Car occupant  injured in collision with fixed or stationary object, driver, traffic accident",V47.59,,,"Car occupant injured in collision with fixed or stationary object, driver, traffic accident, unspecified car [automobile]"
14690,V47.5,,"Car occupant  injured in collision with fixed or stationary object, driver, traffic accident",V47.58,,,"Car occupant injured in collision with fixed or stationary object, driver, traffic accident, other specified car [automobile]"
14691,V47.5,,"Car occupant  injured in collision with fixed or stationary object, driver, traffic accident",V47.50,,,"Car occupant injured in collision with fixed or stationary object, driver, traffic accident, sedan"
14692,V47.5,,"Car occupant  injured in collision with fixed or stationary object, driver, traffic accident",V47.51,,,"Car occupant injured in collision with fixed or stationary object, driver, traffic accident, all-terrain four-wheel drive"
14693,V47.5,,"Car occupant  injured in collision with fixed or stationary object, driver, traffic accident",V47.52,,,"Car occupant injured in collision with fixed or stationary object, driver, traffic accident, four-wheeled motorcycle"
14694,V47.5,,"Car occupant  injured in collision with fixed or stationary object, driver, traffic accident",V47.53,,,"Car occupant injured in collision with fixed or stationary object, driver, traffic accident, passenger van"
14695,V47.6,,"Car occupant  injured in collision with fixed or stationary object, passenger, traffic accident",V47.69,,,"Car occupant injured in collision with fixed or stationary object, passenger, traffic accident, unspecified car [automobile]"
14696,V47.6,,"Car occupant  injured in collision with fixed or stationary object, passenger, traffic accident",V47.68,,,"Car occupant injured in collision with fixed or stationary object, passenger, traffic accident, other specified car [automobile]"
14697,V47.6,,"Car occupant  injured in collision with fixed or stationary object, passenger, traffic accident",V47.60,,,"Car occupant injured in collision with fixed or stationary object, passenger, traffic accident, sedan"
14698,V47.6,,"Car occupant  injured in collision with fixed or stationary object, passenger, traffic accident",V47.61,,,"Car occupant injured in collision with fixed or stationary object, passenger, traffic accident, all-terrain four-wheel drive"
14699,V47.6,,"Car occupant  injured in collision with fixed or stationary object, passenger, traffic accident",V47.62,,,"Car occupant injured in collision with fixed or stationary object, passenger, traffic accident, four-wheeled motorcycle"
14700,V47.6,,"Car occupant  injured in collision with fixed or stationary object, passenger, traffic accident",V47.63,,,"Car occupant injured in collision with fixed or stationary object, passenger, traffic accident, passenger van"
14701,V47.7,,"Car occupant  injured in collision with fixed or stationary object, person on oustide of vehicle, traffic accident",V47.79,,,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle, traffic accident, unspecified car [automobile]"
14702,V47.7,,"Car occupant  injured in collision with fixed or stationary object, person on oustide of vehicle, traffic accident",V47.78,,,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle, traffic accident, other specified car [automobile]"
14703,V47.7,,"Car occupant  injured in collision with fixed or stationary object, person on oustide of vehicle, traffic accident",V47.70,,,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle, traffic accident, sedan"
14704,V47.7,,"Car occupant  injured in collision with fixed or stationary object, person on oustide of vehicle, traffic accident",V47.71,,,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle, traffic accident, all-terrain four-wheel drive"
14705,V47.7,,"Car occupant  injured in collision with fixed or stationary object, person on oustide of vehicle, traffic accident",V47.72,,,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle, traffic accident, four-wheeled motorcycle"
14706,V47.7,,"Car occupant  injured in collision with fixed or stationary object, person on oustide of vehicle, traffic accident",V47.73,,,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle, traffic accident, passenger van"
14707,V47.9,,"Car occupant  injured in collision with fixed or stationary object, unspecified car occupant , traffic accident",V47.99,,,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant, traffic accident, unspecified car [automobile]"
14708,V47.9,,"Car occupant  injured in collision with fixed or stationary object, unspecified car occupant, traffic accident",V47.98,,,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant, traffic accident, other specified car [automobile]"
14709,V47.9,,"Car occupant  injured in collision with fixed or stationary object, unspecified car occupant, traffic accident",V47.90,,,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant, traffic accident, sedan"
14710,V47.9,,"Car occupant  injured in collision with fixed or stationary object, unspecified car occupant, traffic accident",V47.91,,,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant, traffic accident, all-terrain four-wheel drive"
14711,V47.9,,"Car occupant  injured in collision with fixed or stationary object, unspecified car occupant, traffic accident",V47.92,,,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant, traffic accident, four-wheeled motor cycle"
14712,V47.9,,"Car occupant  injured in collision with fixed or stationary object, unspecified car occupant, traffic accident",V47.93,,,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant, traffic accident, passenger van"
14713,V48.0,,"Car occupant  injured in noncollision transport accident, driver, nontraffic accident, while engaged in sports activity",V48.09,,,"Car occupant injured in noncollision transport accident, driver, nontraffic accident, unspecified car [automobile]"
14714,V48.0,,"Car occupant  injured in noncollision transport accident, driver, nontraffic accident",V48.08,,,"Car occupant injured in noncollision transport accident, driver, nontraffic accident, other specified car [automobile]"
14715,V48.0,,"Car occupant  injured in noncollision transport accident, driver, nontraffic accident",V48.00,,,"Car occupant injured in noncollision transport accident, driver, nontraffic accident, sedan"
14716,V48.0,,"Car occupant  injured in noncollision transport accident, driver, nontraffic accident",V48.01,,,"Car occupant injured in noncollision transport accident, driver, nontraffic accident, all-terrain four-wheel drive"
14717,V48.0,,"Car occupant  injured in noncollision transport accident, driver, nontraffic accident",V48.02,,,"Car occupant injured in noncollision transport accident, driver, nontraffic accident, four-wheeled motorcycle"
14718,V48.0,,"Car occupant  injured in noncollision transport accident, driver, nontraffic accident",V48.03,,,"Car occupant injured in noncollision transport accident, driver, nontraffic accident, passenger van"
14719,V48.1,,"Car occupant  injured in noncollision transport accident, passenger, nontraffic accident",V48.19,,,"Car occupant injured in noncollision transport accident, passenger, nontraffic accident, unspecified car [automobile]"
14720,V48.1,,"Car occupant  injured in noncollision transport accident, passenger, nontraffic accident",V48.18,,,"Car occupant injured in noncollision transport accident, passenger, nontraffic accident, other specified car [automobile]"
14721,V48.1,,"Car occupant  injured in noncollision transport accident, passenger, nontraffic accident",V48.10,,,"Car occupant injured in noncollision transport accident, passenger, nontraffic accident, sedan"
14722,V48.1,,"Car occupant  injured in noncollision transport accident, passenger, nontraffic accident",V48.11,,,"Car occupant injured in noncollision transport accident, passenger, nontraffic accident, all-terrain four-wheel drive"
14723,V48.1,,"Car occupant  injured in noncollision transport accident, passenger, nontraffic accident",V48.12,,,"Car occupant injured in noncollision transport accident, passenger, nontraffic accident, four-wheeled motorcycle"
14724,V48.1,,"Car occupant  injured in noncollision transport accident, passenger, nontraffic accident",V48.13,,,"Car occupant injured in noncollision transport accident, passenger, nontraffic accident, passenger van"
14725,V48.2,,"Car occupant  injured in noncollision transport accident, person on outside of vehicle, nontraffic accident",V48.29,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, nontraffic accident, unspecified car [automobile]"
14726,V48.2,,"Car occupant  injured in noncollision transport accident, person on outside of vehicle, nontraffic accident",V48.28,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, nontraffic accident, other specified car [automobile]"
14727,V48.2,,"Car occupant  injured in noncollision transport accident, person on outside of vehicle, nontraffic accident",V48.20,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, nontraffic accident, sedan"
14728,V48.2,,"Car occupant  injured in noncollision transport accident, person on outside of vehicle, nontraffic accident",V48.21,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, nontraffic accident, all-terrain four-wheel drive"
14729,V48.2,,"Car occupant  injured in noncollision transport accident, person on outside of vehicle, nontraffic accident",V48.22,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, nontraffic accident, four-wheeled motorcycle"
14730,V48.2,,"Car occupant  injured in noncollision transport accident, person on outside of vehicle, nontraffic accident",V48.23,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, nontraffic accident, passenger van"
14731,V48.3,,"Car occupant  injured in noncollision transport accident, unspecified car occupant, nontraffic accident",V48.39,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, nontraffic accident, unspecified car [automobile]"
14732,V48.3,,"Car occupant  injured in noncollision transport accident, unspecified car occupant, nontraffic accident",V48.38,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, nontraffic accident, other specified car [automobile]"
14733,V48.3,,"Car occupant  injured in noncollision transport accident, unspecified car occupant, nontraffic accident",V48.30,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, nontraffic accident, sedan"
14734,V48.3,,"Car occupant  injured in noncollision transport accident, unspecified car occupant, nontraffic accident",V48.31,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, nontraffic accident, all-terrain four-wheel drive"
14735,V48.3,,"Car occupant  injured in noncollision transport accident, unspecified car occupant, nontraffic accident",V48.32,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, nontraffic accident, four-wheeled motorcycle"
14736,V48.3,,"Car occupant  injured in noncollision transport accident, unspecified car occupant, nontraffic accident",V48.33,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, nontraffic accident, passenger van"
14737,V48.4,,"Car occupant  injured in noncollision transport accident, while boarding or alighting",V48.49,,,"Car occupant injured in noncollision transport accident, while boarding or alighting, unspecified car [automobile]"
14738,V48.4,,"Car occupant  injured in noncollision transport accident, while boarding or alighting",V48.48,,,"Car occupant injured in noncollision transport accident, while boarding or alighting, other specified car [automobile]"
14739,V48.4,,"Car occupant  injured in noncollision transport accident, while boarding or alighting",V48.40,,,"Car occupant injured in noncollision transport accident, while boarding or alighting, sedan"
14740,V48.4,,"Car occupant  injured in noncollision transport accident, while boarding or alighting",V48.41,,,"Car occupant injured in noncollision transport accident, while boarding or alighting, all-terrain four-wheel drive"
14741,V48.4,,"Car occupant  injured in noncollision transport accident, while boarding or alighting",V48.42,,,"Car occupant injured in noncollision transport accident, while boarding or alighting, four-wheeled motorcycle"
14742,V48.4,,"Car occupant  injured in noncollision transport accident, while boarding or alighting",V48.43,,,"Car occupant injured in noncollision transport accident, while boarding or alighting, passenger van"
14743,V48.5,,"Car occupant  injured in noncollision transport accident, driver, traffic accident",V48.59,,,"Car occupant injured in noncollision transport accident, driver, traffic accident, unspecified car [automobile]"
14744,V48.5,,"Car occupant  injured in noncollision transport accident, driver, traffic accident",V48.58,,,"Car occupant injured in noncollision transport accident, driver, traffic accident, other specified car [automobile]"
14745,V48.5,,"Car occupant  injured in noncollision transport accident, driver, traffic accident",V48.50,,,"Car occupant injured in noncollision transport accident, driver, traffic accident, sedan"
14746,V48.5,,"Car occupant  injured in noncollision transport accident, driver, traffic accident",V48.51,,,"Car occupant injured in noncollision transport accident, driver, traffic accident, all-terrain four-wheel drive"
14747,V48.5,,"Car occupant  injured in noncollision transport accident, driver, traffic accident",V48.52,,,"Car occupant injured in noncollision transport accident, driver, traffic accident, four-wheeled motorcycle"
14748,V48.5,,"Car occupant  injured in noncollision transport accident, driver, traffic accident",V48.53,,,"Car occupant injured in noncollision transport accident, driver, traffic accident, passenger van"
14749,V48.6,,"Car occupant  injured in noncollision transport accident, passenger, traffic accident",V48.69,,,"Car occupant injured in noncollision transport accident, passenger, traffic accident, unspecified car [automobile]"
14750,V48.6,,"Car occupant  injured in noncollision transport accident, passenger, traffic accident",V48.68,,,"Car occupant injured in noncollision transport accident, passenger, traffic accident, other specified car [automobile]"
14751,V48.6,,"Car occupant  injured in noncollision transport accident, passenger, traffic accident",V48.60,,,"Car occupant injured in noncollision transport accident, passenger, traffic accident, sedan"
14752,V48.6,,"Car occupant  injured in noncollision transport accident, passenger, traffic accident",V48.61,,,"Car occupant injured in noncollision transport accident, passenger, traffic accident, all-terrain four-wheel drive"
14753,V48.6,,"Car occupant  injured in noncollision transport accident, passenger, traffic accident",V48.62,,,"Car occupant injured in noncollision transport accident, passenger, traffic accident, four-wheeled motorcycle"
14754,V48.6,,"Car occupant  injured in noncollision transport accident, passenger, traffic accident",V48.63,,,"Car occupant injured in noncollision transport accident, passenger, traffic accident, passenger van"
14755,V48.7,,"Car occupant  injured in noncollision transport accident, person on oustide of vehicle, traffic accident",V48.79,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, traffic accident, unspecified car [automobile]"
14756,V48.7,,"Car occupant  injured in noncollision transport accident, person on oustide of vehicle, traffic accident",V48.78,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, traffic accident, other specified car [automobile]"
14757,V48.7,,"Car occupant  injured in noncollision transport accident, person on oustide of vehicle, traffic accident",V48.70,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, traffic accident, sedan"
14758,V48.7,,"Car occupant  injured in noncollision transport accident, person on oustide of vehicle, traffic accident",V48.71,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, traffic accident, all-terrain four-wheel drive"
14759,V48.7,,"Car occupant  injured in noncollision transport accident, person on oustide of vehicle, traffic accident",V48.72,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, traffic accident, four-wheeled motorcycle"
14760,V48.7,,"Car occupant  injured in noncollision transport accident, person on oustide of vehicle, traffic accident",V48.73,,,"Car occupant injured in noncollision transport accident, person on outside of vehicle, traffic accident, passenger van"
14761,V48.9,,"Car occupant  injured in noncollision transport accident, unspecified car occupant , traffic accident",V48.99,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, traffic accident, unspecified car [automobile]"
14762,V48.9,,"Car occupant  injured in noncollision transport accident, unspecified car occupant , traffic accident",V48.98,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, traffic accident, other specified car [automobile]"
14763,V48.9,,"Car occupant  injured in noncollision transport accident, unspecified car occupant , traffic accident",V48.90,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, traffic accident, sedan"
14764,V48.9,,"Car occupant  injured in noncollision transport accident, unspecified car occupant , traffic accident",V48.91,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, traffic accident, all-terrain four-wheel drive"
14765,V48.9,,"Car occupant  injured in noncollision transport accident, unspecified car occupant , traffic accident",V48.92,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, traffic accident, four-wheeled motorcycle"
14766,V48.9,,"Car occupant  injured in noncollision transport accident, unspecified car occupant , traffic accident",V48.93,,,"Car occupant injured in noncollision transport accident, unspecified car occupant, traffic accident, passenger van"
14767,V49.0,,Car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,V49.0,,,Driver of car injured in collision with other and unspecified motor vehicles in nontraffic accident
14768,V49.1,,Car occupant passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,V49.1,,,Passenger of car injured in collision with other and unspecified motor vehicles in nontraffic accident
14769,V49.2,,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,V49.2,,,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
14770,V49.3,,Car occupant [any] injured in unspecified nontraffic accident,V49.3,,,Car occupant [any] injured in unspecified nontraffic accident
14771,V49.4,,Car occupant injured in collision with other and unspecified motor vehicles in traffic accident,V49.4,,,Driver of car injured in collision with other and unspecified motor vehicles in traffic accident
14772,V49.5,,Car occupant passenger injured in collision with other and unspecified motor vehicles in traffic accident,V49.5,,,Passenger of car injured in collision with other and unspecified motor vehicles in traffic accident
14773,V49.6,,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,V49.6,,,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident
14774,V49.8,,Car occupant [any] injured in other specified transport accidents,V49.8,,,Car occupant [any] injured in other specified transport accidents
14775,V49.9,,Car occupant [any] injured in unspecified traffic accident,V49.9,,,Car occupant [any] injured in unspecified traffic accident
14776,V50.0,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, driver, nontraffic accident",V50.0,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, driver, nontraffic accident"
14777,V50.1,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, passenger, nontraffic accident",V50.1,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, passenger, nontraffic accident"
14778,V50.2,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident",V50.2,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident"
14779,V50.3,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, unspecified occupant of pick-up truck or van, nontraffic accident, ",V50.3,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, unspecified occupant of pick-up truck or van, nontraffic accident"
14780,V50.4,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, while boarding or alighting",V50.4,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, while boarding or alighting"
14781,V50.5,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, driver, traffic accident",V50.5,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, driver, traffic accident"
14782,V50.6,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, passenger, traffic accident",V50.6,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, passenger, traffic accident"
14783,V50.7,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, person on oustide of vehicle, traffic accident",V50.7,,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident"
14784,V50.9,,"Occupant of pick-up truck or van injured in collision with pedestrian or animal, unspecified occupant of pick-up truck or van, traffic accident",V50.9,,,"Occupant of pick-truck or van injured in collision with pedestrian or animal, unspecified occupant of pick-up truck or van, traffic accident"
14785,V51.0,,"Occupant of pick-up truck or van injured in collision with other pedal cycle, driver, nontraffic accident",V51.0,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, driver, nontraffic accident"
14786,V51.1,,"Occupant of pick-up truck or van injured in collision with other pedal cycle, passenger, nontraffic accident",V51.1,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, passenger, nontraffic accident"
14787,V51.2,,"Occupant of pick-up truck or van injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident",V51.2,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident"
14788,V51.3,,"Occupant of pick-up truck or van injured in collision with other pedal cycle, unspecified occupant of pick-up truck or van, nontraffic accident",V51.3,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, unspecified occupant of pick-up truck or van, nontraffic accident"
14789,V51.4,,"Occupant of pick-up truck or van injured in collision with other pedal cycle, while boarding or alighting",V51.4,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, while boarding or alighting"
14790,V51.5,,"Occupant of pick-up truck or van injured in collision with other pedal cycle, driver, traffic accident",V51.5,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, driver, traffic accident"
14791,V51.6,,"Occupant of pick-up truck or van injured in collision with other pedal cycle, passenger, traffic accident",V51.6,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, passenger, traffic accident"
14792,V51.7,,"Occupant of pick-up truck or van injured in collision with pedal cycle, person on oustide of vehicle, traffic accident",V51.7,,,"Occupant of pick-up truck or van injured in collision with pedal cycle, person on outside of vehicle, traffic accident"
14793,V51.9,,"Occupant of pick-up truck or van injured in collision with other pedal cycle, unspecified occupant of pick-up truck or van, traffic accident",V51.9,,,"Occupant of pick-truck or van injured in collision with pedal cycle, unspecified occupant of pick-up truck or van, traffic accident"
14794,V52.0,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident",V52.0,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident"
14795,V52.1,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident",V52.1,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident"
14796,V52.2,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident",V52.2,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident"
14797,V52.3,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of pick-up truck or van, nontraffic accident",V52.3,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of pick-up truck or van, nontraffic accident"
14798,V52.4,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting",V52.4,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting"
14799,V52.5,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, driver, traffic accident",V52.5,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, driver, traffic accident"
14800,V52.6,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, passenger, traffic accident",V52.6,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, passenger, traffic accident"
14801,V52.7,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, person on oustide of vehicle, traffic accident",V52.7,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, traffic accident"
14802,V52.9,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of pick-up truck or van, traffic accident",V52.9,,,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of pick-up truck or van, traffic accident"
14803,V53.0,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, nontraffic accident",V53.0,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, nontraffic accident"
14804,V53.1,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident",V53.1,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident"
14805,V53.2,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident",V53.2,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident"
14806,V53.3,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident",V53.3,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident"
14807,V53.4,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting",V53.4,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting"
14808,V53.5,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident",V53.5,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident"
14809,V53.6,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident",V53.6,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident"
14810,V53.7,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on oustide of vehicle, traffic accident",V53.7,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident"
14811,V53.9,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident",V53.9,,,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident"
14812,V54.0,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver, nontraffic accident",V54.0,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver, nontraffic accident"
14813,V54.1,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident",V54.1,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident"
14814,V54.2,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, person on outside of vehicle, nontraffic accident",V54.2,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, person on outside of vehicle, nontraffic accident"
14815,V54.3,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, unspecified occupant of pick-up truck or van, nontraffic accident",V54.3,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, unspecified occupant of pick-up truck or van, nontraffic accident"
14816,V54.4,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, while boarding or alighting",V54.4,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, while boarding or alighting"
14817,V54.5,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver, traffic accident",V54.5,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver, traffic accident"
14818,V54.6,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger, traffic accident",V54.6,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger, traffic accident"
14819,V54.7,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, person on oustide of vehicle, traffic accident",V54.7,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, person on outside of vehicle, traffic accident"
14820,V54.9,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, unspecified occupant of pick-up truck or van, traffic accident",V54.9,,,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, unspecified occupant of pick-up truck or van, traffic accident"
14821,V55.0,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, driver, nontraffic accident",V55.0,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, driver, nontraffic accident"
14822,V55.1,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, passenger, nontraffic accident",V55.1,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, passenger, nontraffic accident"
14823,V55.2,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, person on outside of vehicle, nontraffic accident",V55.2,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, person on outside of vehicle, nontraffic accident"
14824,V55.3,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, unspecified occupant of pick-up truck or van, nontraffic accident",V55.3,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, unspecified occupant of pick-up truck or van, nontraffic accident"
14825,V55.4,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, while boarding or alighting, while engaged in sports activity",V55.4,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, while boarding or alighting"
14826,V55.5,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, driver, traffic accident, while engaged in sports activity",V55.5,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, driver, traffic accident"
14827,V55.6,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, passenger, traffic accident",V55.6,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, passenger, traffic accident"
14828,V55.7,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, person on oustide of vehicle, traffic accident",V55.7,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, person on outside of vehicle, traffic accident"
14829,V55.9,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, unspecified occupant of pick-up truck or van, traffic accident",V55.9,,,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, unspecified occupant of pick-up truck or van, traffic accident"
14830,V56.0,,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, driver, nontraffic accident",V56.0,,,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, driver, nontraffic accident"
14831,V56.1,,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, passenger, nontraffic accident",V56.1,,,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, passenger, nontraffic accident"
